,human_nums,normal_zombie_nums,elite_zombie_nums,winning_probability,death_mean,adrenaline_mean,round_mean,experiment_times
427,6,9,1,99.97,0.6447,3.7254,3.9148,10000
428,6,9,2,97.73,1.4787,3.9542,4.641,10000
429,6,9,3,91.44,2.3447,4.1457,5.5115,10000
430,6,9,4,81.61,3.1734,4.2535,6.522,10000
431,6,9,5,71.86,3.8391,4.3703,7.4453,10000
432,6,10,0,100.0,0.0,3.7335,3.7432,10000
433,6,10,1,99.96,0.7022,4.0326,4.2937,10000
434,6,10,2,97.09,1.5924,4.2285,5.0553,10000
435,6,10,3,88.47,2.5952,4.3917,6.1153,10000
436,6,10,4,76.73,3.4623,4.4426,7.1219,10000
437,6,10,5,65.68,4.0786,4.5173,7.9928,10000
438,7,0,1,100.0,0.1644,1.1912,1.0069,10000
439,7,0,2,100.0,0.3408,1.2479,1.0625,10000
440,7,0,3,100.0,0.5413,1.4285,1.2408,10000
441,7,0,4,99.96,0.8097,1.731,1.5685,10000
442,7,0,5,99.85,1.1526,2.0798,1.9641,10000
443,7,1,0,100.0,0.0,1.1797,1.0079,10000
444,7,1,1,100.0,0.1742,1.2247,1.0611,10000
445,7,1,2,100.0,0.3732,1.4352,1.2367,10000
446,7,1,3,100.0,0.6275,1.7367,1.5401,10000
447,7,1,4,99.88,0.9846,2.0984,1.95,10000
448,7,1,5,99.5,1.3626,2.399,2.3361,10000
449,7,2,0,100.0,0.0,1.2529,1.0658,10000
450,7,2,1,100.0,0.2109,1.4331,1.2328,10000
